JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG
11:11:15:03:06:39,50.5826,52.2992,3.89168,6.61841,3.17399,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:40,51.1548,52.8714,3.76045,6.63443,3.89168,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:41,51.4409,53.1576,4.1922,6.6331,3.76045,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:42,50.8687,52.5853,4.20189,6.64511,4.1922,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:43,50.5826,52.5853,4.19364,6.65579,4.20189,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:44,51.1548,53.1576,4.19858,6.6104,4.19364,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:45,50.5826,52.5853,4.18935,6.65713,4.19858,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:46,50.2965,52.0131,4.20595,6.67983,4.18935,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:47,50.8687,52.5853,4.18255,6.65846,4.20595,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:48,50.8687,53.4436,4.21818,6.61975,4.18255,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:49,50.8687,52.5853,4.21603,6.64912,4.21818,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:50,51.1548,52.5853,4.19644,6.63577,4.21603,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:51,51.1548,52.8714,4.13939,6.64111,4.19644,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:52,51.4409,53.4436,4.16165,6.58503,4.13939,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:53,50.8687,52.8714,4.16777,6.58503,4.16165,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:54,51.1548,52.2992,4.17232,6.54631,4.16777,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:55,51.1548,52.5853,4.13897,6.4889,4.17232,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:56,52.0131,52.8714,4.13897,6.43549,4.13897,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:57,51.4409,53.1576,4.1519,6.47688,4.13897,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:58,51.4409,53.7298,4.15929,6.48089,4.1519,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:06:59,50.5826,53.1576,4.1651,6.44217,4.15929,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:00,50.8687,52.8714,4.15158,6.44885,4.1651,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:01,50.8687,53.1576,4.16543,6.46754,4.15158,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:02,50.8687,53.1576,4.1693,6.4889,4.16543,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:03,51.4409,53.1576,4.18322,6.51961,4.1693,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:04,51.1548,52.8714,4.13391,6.55299,4.18322,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:05,50.8687,52.8714,4.16439,6.59304,4.13391,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:06,51.1548,52.8714,4.18372,6.56901,4.16439,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:07,50.8687,52.8714,4.17141,6.59304,4.18372,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:08,51.1548,52.8714,4.17284,6.61841,4.17141,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:09,50.5826,52.5853,4.16211,6.63443,4.17284,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:10,49.7243,52.2992,4.20821,6.64778,4.16211,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:11,50.2965,51.727,4.17811,6.64511,4.20821,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:12,50.0104,52.2992,4.15023,6.63176,4.17811,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:13,50.8687,52.2992,4.18,6.66381,4.15023,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:14,50.8687,53.4436,4.17839,6.61574,4.18,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:15,51.1548,52.2992,4.19365,6.64511,4.17839,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:16,47.4355,48.866,4.18474,6.67716,4.19365,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:17,45.4328,46.8633,4.19634,6.67048,4.18474,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:18,45.7189,46.5772,3.91371,6.58236,4.19634,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:19,48.2938,47.4355,2.85727,6.561,3.91371,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:20,50.5826,50.5826,2.42381,6.57302,2.85727,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:21,54.302,52.8714,2.28542,6.61841,2.42381,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:22,57.163,54.5881,1.99495,6.71721,2.28542,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:23,58.3074,56.3047,3.29911,6.81869,1.99495,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:24,56.3047,56.3047,3.8907,6.79332,3.29911,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:25,56.0186,55.1603,4.10658,6.82803,3.8907,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:26,59.1657,54.5881,4.21648,6.81334,4.10658,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:27,56.8769,55.4464,4.20402,6.79599,4.21648,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:28,57.163,54.5881,4.19651,6.74658,4.20402,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
11:11:15:03:07:29,56.0186,55.4464,4.16022,6.77863,4.19651,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0
