JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN
13:11:15:14:18:54,-40.6837,5.09254,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.6555
13:11:15:14:18:55,-40.9697,5.66475,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,3.41098
13:11:15:14:18:56,-41.2559,6.23695,0,0.0614185,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,2.80904
13:11:15:14:18:57,-40.9697,5.95085,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,1.32039
13:11:15:14:18:58,-40.3975,6.52305,0,0.0600815,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.129712
13:11:15:14:18:59,-39.8253,5.09254,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.833717
13:11:15:14:19:00,-40.1115,5.66475,0,0.0680924,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,-0.407214
13:11:15:14:19:01,-40.9697,5.66475,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.603438
13:11:15:14:19:02,-40.1115,4.80644,0,0.065424,0,0,0,0,0,0,0,0,0,0,0,0,-7448.48,0,0,0,0,0,0.956002
