JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV,J623_CONC,J624_CONC,PCM_LIQ_ADD3_CONC_RAW
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN,G/MG,G/MG,G/MG
14:11:15:15:08:33,9428.69,9426.98,0,1.71168,0,0,0,7450.55,280515,9271.88,0,0,0.133432,280515,0,0,1823.4,330.033,7754.21,7450.55,0,0,-14.2948,-0.180263,-0.360527,0
14:11:15:15:08:34,9428.41,9426.69,0,1.64893,0,0,0,7450.55,280515,9271.88,0,0,0.14069,280515,0,0,1823.4,330.05,7754.21,7450.55,0,0,-13.2357,-0.180263,-0.360527,0
14:11:15:15:08:35,9428.41,9426.98,0,1.62222,0,0,0,7450.55,280515,9271.88,0,0,0.140071,280515,0,0,1823.4,330.067,7754.21,7450.55,0,0,-12.816,-0.180263,-0.360527,0
14:11:15:15:08:36,9426.98,9427.55,0,1.5835,0,0,0,7450.55,280515,9271.88,0,0,0.143426,280515,0,0,1823.4,330.083,7754.21,7450.55,0,0,-12.2277,-0.180263,-0.360527,0
14:11:15:15:08:37,9427.84,9426.69,0,1.66495,0,0,0,7450.55,280515,9271.88,0,0,0.136086,280515,0,0,1823.4,330.1,7754.21,7450.55,0,0,-12.1998,-0.180263,-0.360527,0
14:11:15:15:08:38,9429.55,9424.69,0,1.65694,0,0,0,7450.55,280515,9271.88,0,0,0.135774,280515,0,0,1823.4,330.117,7754.21,7450.55,0,0,-12.7363,-0.180263,-0.360527,0
14:11:15:15:08:39,9427.84,9425.83,0,1.62356,0,0,0,7450.55,280515,9271.88,0,0,0.136591,280515,0,0,1823.4,330.133,7754.21,7450.55,0,0,-11.8091,-0.180263,-0.360527,0
14:11:15:15:08:40,9427.84,9426.12,0,1.58751,0,0,0,7450.55,280515,9271.88,0,0,0.142144,280515,0,0,1823.4,330.15,7754.21,7450.55,0,0,-9.52141,-0.180263,-0.360527,0
14:11:15:15:08:41,9427.26,9426.12,0,1.52209,0,0,0,7450.55,280515,9271.88,0,0,0.149374,280515,0,0,1823.4,330.167,7754.21,7450.55,0,0,-8.27665,-0.180263,-0.360527,0
14:11:15:15:08:42,9428.69,9424.69,0,1.5568,0,0,0,7450.55,280515,9271.88,0,0,0.147394,280515,0,0,1823.4,330.183,7754.21,7450.55,0,0,-8.13815,-0.180263,-0.360527,0
14:11:15:15:08:43,9426.98,9426.12,0,1.47669,0,0,0,7450.55,280515,9271.88,0,0,0.156789,280515,0,0,1823.4,330.2,7754.21,7450.55,0,0,-7.64328,-0.180263,-0.360527,0
