JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC,Scale_CONC,TR_PRESS_DERIV,J623_CONC,J624_CONC,PCM_LIQ_ADD3_CONC_RAW
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG,G/MG,PSMN,G/MG,G/MG,G/MG
15:11:15:11:54:57,-44.9752,13.1034,0,0.00801086,0,0,0,0,0,0,0,0,33.0847,0,0,0,-7448.48,0,0,0,0,0,-1.06232,0,0,0
15:11:15:11:54:58,-44.6891,13.1034,0,0.00667572,0,0,0,0,0,0,0,0,32.9764,0,0,0,-7448.48,0,0,0,0,0,-1.2755,0,0,0
15:11:15:11:54:59,-45.2613,13.9617,0,0.0106792,0,0,0,0,0,0,0,0,65.8598,0,0,0,-7448.48,0,0,0,0,0,-0.190721,0,0,0
15:11:15:11:55:00,-45.5474,13.6756,0,0.00667572,0,0,0,0,0,0,0,0,28.203,0,0,0,-7448.48,0,0,0,0,0,1.04892,0,0,0
15:11:15:11:55:01,-44.9752,13.1034,0,0.00400543,0,0,0,0,0,0,0,0,39.4773,0,0,0,-7448.48,0,0,0,0,0,1.42872,0,0,0
15:11:15:11:55:02,-45.2613,13.9617,0,0.00400543,0,0,0,0,0,0,0,0,50.0553,0,0,0,-7448.48,0,0,0,0,0,1.40647,0,0,0
15:11:15:11:55:03,-45.5474,14.2478,0,0.00534058,0,0,0,0,0,0,0,0,66.1977,0,0,0,-7448.48,0,0,0,0,0,1.61391,0,0,0
15:11:15:11:55:04,-44.9752,13.1034,0,0.00534058,0,0,0,0,0,0,0,0,50.3598,0,0,0,-7448.48,0,0,0,0,0,1.58809,0,0,0
15:11:15:11:55:05,-44.6891,12.5312,0,0.0106792,0,0,0,0,0,0,0,0,50.4923,0,0,0,-7448.48,0,0,0,0,0,1.38439,0,0,0
15:11:15:11:55:06,-44.9752,13.1034,0,0.00934601,0,0,0,0,0,0,0,0,33.7105,0,0,0,-7448.48,0,0,0,0,0,1.72202,0,0,0
15:11:15:11:55:07,-45.5474,13.1034,0,0.00934601,0,0,0,0,0,0,0,0,29.3132,0,0,0,-7448.48,0,0,0,0,0,2.3295,0,0,0
15:11:15:11:55:08,-44.6891,12.8173,0,0.0120163,0,0,0,0,0,0,0,0,22.1421,0,0,0,-7448.48,0,0,0,0,0,2.31925,0,0,0
15:11:15:11:55:09,-44.6891,13.3895,0,0.0120163,0,0,0,0,0,0,0,0,22.5541,0,0,0,-7448.48,0,0,0,0,0,1.97036,0,0,0
