,,,Northeast Natural Energy LLC -MIP 5H Frac Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pad Name,,MIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Name:,,MIP 5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,,West Virginia,Total Fluid Load (Bbls):,,,"237,175",Total Stimulation Cost ($):,,,"$1,370,398 ",Stimulation Vendor:,,,Schlumberger,,,FR Manufacturer:,,,SLB,,,,,,,,,,,,,,
County:,,Monongalia,Average Fluid (Bbls/Stage):,,,"7,906",Total Stimulation Budget ($):,,,"$1,540,000 ",Wireline Vendor:,,,Schlumberger,,,FR Product:,,,J609W,,,,,,,,,,,,,,
Report Date:,,11/6/2015,Total Proppant Placed (Lbs):,,,"11,088,100",Total Wireline Cost ($):,,,"$157,300 ",Plug Vendor/Type:,,,SLB,,,Scale Inhibitor Manufacturer:,,,SLB,,,,,,,,,,,,,,
Total Stages:,,30,Total Completed Interval (Ft):,,,"5,784",Total Wireline Budget ($):,,,"$135,000 ",Wellhead Vendor:,,,Cameron,,,Scale Inhibitor Product:,,,B317,,,,,,,,,,,,,,
Stages Complete:,,30,Total Average Proppant (Lbs/Ft):,,,"1,917",Total Plug Cost ($):,,,"$46,000 ",Flowback/Frac Watch Vendor:,,,Cameron,,,Biocide Manufacturer:,,,SLB,,,,,,,,,,,,,,
Stages Remaining,,,Total Average Proppant (Lbs/Stg):,,,"369,603",Total Plug Budget ($):,,,"$39,000 ",Water Transfer Vendor:,,,Solid Oak,,,Biocide Product:,,,B385,,,,,,,,,,,,,,
Stage Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage Number,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total,Average
Report Date,,,10/28/2015,10/29/2015,10/29/2015,10/29/2015,10/30/2015,10/30/2015,10/30/2015,10/31/2015,10/31/2015,10/31/2015,10/31/2015,10/31/2015,11/1/2015,11/1/2015,11/1/2015,11/1/2015,11/2/2015,11/3/2015,11/3/2015,11/3/2015,11/3/2015,11/3/2015,11/4/2015,11/4/2015,11/4/2015,11/4/2015,11/4/2015,11/5/2015,11/5/2015,11/5/2015,-,-
Frac Gradient (psi/ft),,,#N/A,1.2,1.22,#N/A,1.14,1.21,1.24,1.26,1.15,1.16,1.16,#N/A,1.22,1.21,1.16,1.24,1.3,1.35,1.27,1.15,1.26,1.21,1.36,1.33,1.18,1.28,1.27,1.28,1.31,1.3,-,1.24
ISIP (psi),,,#N/A,"5,965","5,885",#N/A,"5,278","5,817","6,041","6,156","5,312","5,401","5,408",#N/A,"5,898","5,820","5,403","5,983","6,465","6,814","6,219","5,535","6,145","5,788","6,907","6,697","5,596","6,323","6,250","6,250","6,513","6,482",-,"6,013"
5 Min ISIP (psi),,,#N/A,"5,040","5,405",#N/A,"4,387","4,984","4,888","5,217","4,551","4,499","4,838",#N/A,"4,893","5,182","4,770","4,986","5,458","5,505","5,396","5,093","5,374","5,003","5,464","5,697","5,250","5,708","5,731",#N/A,"5,300","5,649",-,"5,164"
10 Min ISIP (psi),,,#N/A,"4,838","5,227",#N/A,"4,195","4,776","4,635","5,014","4,354","4,277","4,673",#N/A,"4,690","4,993","4,603","4,767","5,250","5,271","5,164","4,935","5,191","4,807","5,300","5,505","5,110","5,663","5,579",#N/A,"5,093","5,487",-,"4,977"
15 Min ISIP (psi),,,#N/A,"4,694","5,120",#N/A,"4,110","4,661","4,490","4,881","4,241","4,126","4,563",#N/A,"4,570","4,866","4,496","4,637","5,107","5,128","5,032","4,822","5,077","4,704","5,236","5,392","5,010","5,614","5,480",#N/A,"4,993","5,413",-,"4,864"
Breakdown Rate (BPM),,,10,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,15,15,15,-,14
Breakdown Pressure (psi),,,"7,500","7,804","6,906","6,499","5,749","7,201","6,383","5,970","6,009","6,647","6,841","6,253","6,436","6,654","6,453","7,417","6,435","6,457","6,536","6,266","6,213","6,617","6,736","6,780","6,384","6,729","6,528","7,891","6,550","7,031",-,"6,663"
Breakdown Volume (Bbls),,,24,9,275,300,300,291,201,285,281,272,92,267,255,254,244,248,235,239,220,223,228,218,214,210,198,197,177,186,187,181,"6,511",217
Avg Treating Pressure (psi),,,"8,305","8,619","8,827","8,735","8,111","8,691","8,330","8,455","8,217","8,644","8,655","8,747","8,672","8,702","8,648","8,861","8,972","8,892","8,782","8,613","8,773","8,718","8,900","8,797","8,609","8,587","8,829","8,899","8,229","8,368",-,"8,640"
Max Treating Pressure (psi),,,"9,253","9,194","9,125","9,302","9,141","9,071","9,140","9,282","9,065","8,939","9,250","9,285","9,123","9,078","9,171","9,198","9,211","9,195","9,092","9,036","9,107","9,245","9,238","9,136","9,063","9,172","9,150","9,315","9,155","9,211",,
Avg Treating Rate (BPM),,,70,69,82,77,75,88,79,81,85,91,84,86,93,93,94,90,90,89,94,94,100,95,93,98,98,97,94,91,100,99,-,89
Max Treating Rate (BPM),,,80,75,85,87,81,92,86,86,85,94,90,91,94,94,95,95,95,95,95,95,101,100,100,101,100,98,101,101,100,100,,
Pad Volume (bbls),,,553,634,653,594,593,602,594,594,654,654,593,594,"1,164",594,653,593,594,594,531,653,593,593,593,623,631,"1,056",997,997,"1,058","1,060","20,889",696
Total Clean Fluid (Bbls),,,"6,307","6,924","5,682","5,284","6,138","7,766","8,548","7,702","7,557","7,736","7,514","7,916","8,971","7,783","7,674","7,289","7,823","7,690","7,743","7,457","7,686","7,794","5,781","7,259","7,534","8,094","8,010","8,366","8,029","8,149","224,206","7,474"
Prop.1-Type,,,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,100 Mesh,-,-
Prop.1-Amount (lbs),,,"140,560","140,660","142,340","140,660","143,720","140,140","140,420","141,540","140,760","145,400","139,560","145,260","142,780","139,480","140,160","140,660","138,320","137,440","140,120","146,960","140,520","141,500","144,580","143,600","145,080","145,520","140,340","140,980","139,720","140,620","4,249,400","141,647"
Prop.1-Design (lbs),,,"140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","4,200,000","140,000"
Prop.1-Percent Placed,,,100.40%,100.50%,101.70%,100.50%,102.70%,100.10%,100.30%,101.10%,100.50%,103.90%,99.70%,103.80%,102.00%,99.60%,100.10%,100.50%,98.80%,98.20%,100.10%,105.00%,100.40%,101.10%,103.30%,102.60%,103.60%,103.90%,100.20%,100.70%,99.80%,100.40%,-,101%
