JobTime,TR_PRESS,TR_PRESS2,SLUR_RATE,SLUR_RATE2,CFLD_RATE,PROP_CON,BH_PROP_CON,TMT_CFLD,TMT_PROP,BH_PRESS,PROP_CON2,HVFR_Conc,J218_conc,JOB_PROP,POD_CR_LIQ1_CONC_RAW,Biocide_Conc,NET_PRESS,NS_TIMER,JOB_SLUR,JOB_CFLD,J609W_CONC
#NULL,PSI,PSI,B/M,B/M,B/M,PPAC,PPAC,BBL,LB,PSI,PPAC,G/MG,LKGA,LB,G/MG,G/MG,PSI,MIN,BBL,BBL,G/MG
28:10:15:10:44:54,-36.6782,-0.915582,0,1.34584,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:44:55,-36.6782,-0.343379,0,1.33116,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:44:56,-36.3921,-0.343379,0,1.36454,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:44:57,-36.106,-0.629481,0,1.36588,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:44:58,-36.3921,-0.343379,0,1.35786,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:44:59,-36.106,-0.629481,0,1.34451,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:00,-36.106,-0.629481,0,1.33116,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:01,-35.8199,-1.20168,0,1.32448,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:02,-36.106,-0.0572783,0,1.32715,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:03,-35.8199,-0.343379,0,1.32982,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:04,-36.106,-0.629481,0,1.32982,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:05,-36.106,-0.629481,0,1.36187,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:06,-36.3921,-0.343379,0,1.3859,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:07,-35.5338,-1.20168,0,1.38457,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:08,-36.9643,-0.343379,0,1.37522,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:09,-36.3921,-0.915582,0,1.3632,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:10,-36.106,-0.343379,0,1.34184,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:11,-36.3921,-1.20168,0,1.3365,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:12,-36.106,-0.629481,0,1.35519,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
28:10:15:10:45:13,-36.3921,-0.629481,0,1.38323,0,0,0,1.305,0,3247.24,0,0,0,0,0,0,-4240.89,0,1.30451,1.305,0
