,,Northeast Natural MIP 3H ST01 6212ft to 13874ft MD Survey Geodetic Report,,,,,,,,,,,,,
,,(Def Survey),,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Report Date:,,"September 22, 2015 - 07:13 AM",,,,Survey / DLS Computation:,,Minimum Curvature / Lubinski,,,,,,,
Client:,,Northeast Natural,,,,Vertical Section Azimuth:,,319.774 ° (Grid North),,,,,,,
Field:,,WV Monongalia County (NAD 83),,,,Vertical Section Origin:,,"0.000 ft, 0.000 ft",,,,,,,
Structure / Slot:,,Northeast Natural MIP Pad / MIP 3H,,,,TVD Reference Datum:,,KB,,,,,,,
Well:,,MIP 3H,,,,TVD Reference Elevation:,,1082.000 ft above MSL,,,,,,,
Borehole:,,ST01,,,,Seabed / Ground Elevation:,,1058.000 ft above MSL,,,,,,,
UWI / API#:,,Unknown / Unknown,,,,Magnetic Declination:,,-9.548 °,,,,,,,
Survey Name:,,Northeast Natural MIP 3H ST01 6212ft to 13874ft MD,,,,Total Gravity Field Strength:,,999.3447mgn (9.80665 Based),,,,,,,
Survey Date:,,15-Sep-15,,,,Gravity Model:,,GARM,,,,,,,
Tort / AHD / DDI / ERD Ratio:,,212.053 ° / 6998.604 ft / 6.440 / 0.935,,,,Total Magnetic Field Strength:,,52522.053 nT,,,,,,,
Coordinate Reference System:,,"NAD83 West Virginia State Plane, Northern Zone, US Feet",,,,Magnetic Dip Angle:,,66.851 °,,,,,,,
Location Lat / Long:,,"N  39° 36'  6.42007"", W  79° 58' 34.04266""",,,,Declination Date:,,15-Sep-15,,,,,,,
Location Grid N/E Y/X:,,"N 401656.600 ftUS, E 1834344.900 ftUS",,,,Magnetic Declination Model:,,HDGM 2015,,,,,,,
CRS Grid Convergence Angle:,,-0.3037 °,,,,North Reference:,,Grid North,,,,,,,
Grid Scale Factor:,,0.99994083,,,,Grid Convergence Used:,,-0.3037 °,,,,,,,
Version / Patch:,,2.7.1043.0,,,,Total Corr Mag North->Grid North:,,-9.2445 °,,,,,,,
,,,,,,Local Coord Referenced To:,,Well Head,,,,,,,
,,,,,,,,,,,,,,,
SHL,0,0,0,0,-1082,0,0,0,N/A,N/A,N/A,401656.6,1834344.9,N   39 36   6.42,W   79 58 34.04
,112,0.42,156.9,112,-970,-0.39,-0.38,0.16,0.38,0.38,0,401656.22,1834345.06,N   39 36   6.42,W   79 58 34.04
,212,0.63,185.61,211.99,-870.01,-1.13,-1.26,0.25,0.33,0.21,28.71,401655.34,1834345.15,N   39 36   6.41,W   79 58 34.04
,312,0.69,182.45,311.99,-770.01,-1.95,-2.41,0.17,0.07,0.06,-3.16,401654.19,1834345.07,N   39 36   6.40,W   79 58 34.04
,412,0.88,231.58,411.98,-670.02,-2.37,-3.49,-0.46,0.68,0.19,49.13,401653.11,1834344.44,N   39 36   6.39,W   79 58 34.05
,512,0.28,276.25,511.97,-570.03,-2.17,-3.94,-1.3,0.71,-0.6,44.67,401652.66,1834343.6,N   39 36   6.38,W   79 58 34.06
,612,0.29,271.92,611.97,-470.03,-1.82,-3.9,-1.8,0.02,0.01,-4.33,401652.7,1834343.1,N   39 36   6.38,W   79 58 34.07
,712,0.44,270.09,711.97,-370.03,-1.4,-3.9,-2.43,0.15,0.15,-1.83,401652.7,1834342.47,N   39 36   6.38,W   79 58 34.07
,812,0.45,262.83,811.97,-270.03,-0.94,-3.94,-3.21,0.06,0.01,-7.26,401652.66,1834341.69,N   39 36   6.38,W   79 58 34.08
,912,0.41,227.92,911.97,-170.03,-0.74,-4.23,-3.86,0.26,-0.04,-34.91,401652.37,1834341.04,N   39 36   6.38,W   79 58 34.09
,1012,0.63,235.53,1011.96,-70.04,-0.69,-4.78,-4.58,0.23,0.22,7.61,401651.82,1834340.32,N   39 36   6.37,W   79 58 34.10
,1112,0.82,250.18,1111.95,29.95,-0.39,-5.34,-5.71,0.26,0.19,14.65,401651.26,1834339.19,N   39 36   6.37,W   79 58 34.12
,1212,0.94,258.21,1211.94,129.94,0.25,-5.75,-7.18,0.17,0.12,8.03,401650.85,1834337.72,N   39 36   6.36,W   79 58 34.13
,1312,1.08,248.39,1311.93,229.93,0.94,-6.26,-8.86,0.22,0.14,-9.82,401650.34,1834336.04,N   39 36   6.36,W   79 58 34.16
,1412,1.12,246.63,1411.91,329.91,1.53,-7,-10.64,0.05,0.04,-1.76,401649.6,1834334.27,N   39 36   6.35,W   79 58 34.18
,1512,1.14,243.23,1511.89,429.89,2.04,-7.83,-12.42,0.07,0.02,-3.4,401648.77,1834332.48,N   39 36   6.34,W   79 58 34.20
,1612,1.12,216.81,1611.87,529.87,2.05,-9.06,-13.89,0.52,-0.02,-26.42,401647.54,1834331.01,N   39 36   6.33,W   79 58 34.22
,1712,0.67,208.16,1711.86,629.86,1.62,-10.36,-14.76,0.47,-0.45,-8.65,401646.24,1834330.14,N   39 36   6.32,W   79 58 34.23
,1812,0.72,248.96,1811.85,729.85,1.61,-11.1,-15.62,0.49,0.05,40.8,401645.5,1834329.28,N   39 36   6.31,W   79 58 34.24
,1912,0.7,221.83,1911.84,829.84,1.73,-11.78,-16.61,0.33,-0.02,-27.13,401644.82,1834328.29,N   39 36   6.30,W   79 58 34.25
,2012,0.45,231.01,2011.84,929.84,1.66,-12.49,-17.32,0.27,-0.25,9.18,401644.12,1834327.58,N   39 36   6.30,W   79 58 34.26
,2112,0.39,257.87,2111.84,1029.84,1.82,-12.8,-17.96,0.2,-0.06,26.86,401643.8,1834326.94,N   39 36   6.29,W   79 58 34.27
,2212,0.38,279.4,2211.83,1129.83,2.24,-12.82,-18.62,0.14,-0.01,21.53,401643.78,1834326.28,N   39 36   6.29,W   79 58 34.28
,2312,0.83,288.12,2311.83,1229.83,3.11,-12.54,-19.64,0.46,0.45,8.72,401644.06,1834325.26,N   39 36   6.30,W   79 58 34.29
,2412,1.12,285.37,2411.81,1329.81,4.53,-12.06,-21.27,0.29,0.29,-2.75,401644.54,1834323.63,N   39 36   6.30,W   79 58 34.31
,2512,0.95,283.79,2511.8,1429.8,6.01,-11.6,-23.02,0.17,-0.17,-1.58,401645,1834321.88,N   39 36   6.30,W   79 58 34.34
,2612,0.94,287.25,2611.78,1529.78,7.37,-11.16,-24.61,0.06,-0.01,3.46,401645.44,1834320.3,N   39 36   6.31,W   79 58 34.36
,2712,1.09,300.82,2711.77,1629.77,8.96,-10.43,-26.21,0.28,0.15,13.57,401646.17,1834318.7,N   39 36   6.32,W   79 58 34.38
,2812,1.2,282.59,2811.75,1729.75,10.69,-9.71,-28.04,0.38,0.11,-18.23,401646.89,1834316.86,N   39 36   6.32,W   79 58 34.40
,2912,1.33,286.36,2911.72,1829.72,12.5,-9.16,-30.18,0.15,0.13,3.77,401647.44,1834314.72,N   39 36   6.33,W   79 58 34.43
,3012,1.39,289.94,3011.7,1929.7,14.52,-8.42,-32.43,0.1,0.06,3.58,401648.18,1834312.47,N   39 36   6.34,W   79 58 34.46
,3112,1.47,266.38,3111.66,2029.66,16.33,-8.09,-34.85,0.59,0.08,-23.56,401648.51,1834310.05,N   39 36   6.34,W   79 58 34.49
,3212,1.31,297.88,3211.64,2129.64,18.16,-7.63,-37.14,0.77,-0.16,31.5,401648.97,1834307.76,N   39 36   6.34,W   79 58 34.52
,3312,1.57,286.93,3311.61,2229.61,20.37,-6.7,-39.47,0.38,0.26,-10.95,401649.9,1834305.44,N   39 36   6.35,W   79 58 34.55
,3412,1.22,288.22,3411.58,2329.58,22.43,-5.97,-41.79,0.35,-0.35,1.29,401650.63,1834303.12,N   39 36   6.36,W   79 58 34.58
,3512,1.43,294.24,3511.55,2429.55,24.46,-5.12,-43.94,0.25,0.21,6.02,401651.48,1834300.97,N   39 36   6.37,W   79 58 34.60
,3612,1.63,293.51,3611.51,2529.51,26.86,-4.04,-46.38,0.2,0.2,-0.73,401652.56,1834298.53,N   39 36   6.38,W   79 58 34.63
,3712,1.3,286.9,3711.48,2629.48,29.09,-3.15,-48.77,0.37,-0.33,-6.61,401653.45,1834296.14,N   39 36   6.39,W   79 58 34.67
,3812,1.26,285.87,3811.46,2729.46,30.96,-2.51,-50.91,0.05,-0.04,-1.03,401654.09,1834293.99,N   39 36   6.39,W   79 58 34.69
,3912,1.45,299.91,3911.43,2829.43,33.06,-1.58,-53.06,0.38,0.19,14.04,401655.02,1834291.84,N   39 36   6.40,W   79 58 34.72
,4012,1.62,301.18,4011.39,2929.39,35.59,-0.22,-55.37,0.17,0.17,1.27,401656.38,1834289.53,N   39 36   6.41,W   79 58 34.75
,4112,1.35,301.72,4111.36,3029.36,38.05,1.13,-57.58,0.27,-0.27,0.54,401657.73,1834287.32,N   39 36   6.43,W   79 58 34.78
,4212,1.83,295.88,4211.32,3129.32,40.63,2.45,-60.02,0.51,0.48,-5.84,401659.05,1834284.88,N   39 36   6.44,W   79 58 34.81
,4312,1.81,297.96,4311.27,3229.27,43.56,3.88,-62.85,0.07,-0.02,2.08,401660.48,1834282.05,N   39 36   6.46,W   79 58 34.85
,4412,1.87,293.98,4411.22,3329.22,46.49,5.29,-65.74,0.14,0.06,-3.98,401661.89,1834279.17,N   39 36   6.47,W   79 58 34.88
,4512,1.95,292.56,4511.16,3429.16,49.47,6.6,-68.8,0.09,0.08,-1.42,401663.2,1834276.1,N   39 36   6.48,W   79 58 34.92
,4612,1.96,286.72,4611.1,3529.1,52.42,7.75,-72.01,0.2,0.01,-5.84,401664.35,1834272.9,N   39 36   6.49,W   79 58 34.96
,4712,1.69,281.17,4711.05,3629.05,55,8.53,-75.09,0.32,-0.27,-5.55,401665.13,1834269.81,N   39 36   6.50,W   79 58 35.00
,4812,1.84,279.39,4811.01,3729.01,57.38,9.07,-78.12,0.16,0.15,-1.78,401665.67,1834266.78,N   39 36   6.51,W   79 58 35.04
,4912,1.9,291.08,4910.95,3828.95,60.06,9.93,-81.25,0.39,0.06,11.69,401666.53,1834263.65,N   39 36   6.51,W   79 58 35.08
,5012,2.3,301.03,5010.89,3928.89,63.41,11.56,-84.52,0.54,0.4,9.95,401668.16,1834260.38,N   39 36   6.53,W   79 58 35.12
,5112,2.25,306.39,5110.81,4028.81,67.22,13.76,-87.82,0.22,-0.05,5.36,401670.36,1834257.09,N   39 36   6.55,W   79 58 35.17
,5212,1.88,304.4,5210.74,4128.74,70.71,15.85,-90.75,0.38,-0.37,-1.99,401672.45,1834254.15,N   39 36   6.57,W   79 58 35.20
,5312,1.49,305.76,5310.7,4228.7,73.56,17.54,-93.16,0.39,-0.39,1.36,401674.14,1834251.74,N   39 36   6.59,W   79 58 35.23
,5412,1.57,317.94,5410.66,4328.66,76.19,19.32,-95.14,0.33,0.08,12.18,401675.92,1834249.77,N   39 36   6.61,W   79 58 35.26
,5512,1.42,317.22,5510.63,4428.63,78.79,21.24,-96.89,0.15,-0.15,-0.72,401677.84,1834248.01,N   39 36   6.62,W   79 58 35.28
,5612,1.12,333.06,5610.6,4528.6,80.98,23.02,-98.18,0.46,-0.3,15.84,401679.62,1834246.73,N   39 36   6.64,W   79 58 35.30
,5712,0.52,323.22,5710.59,4628.59,82.39,24.26,-98.89,0.61,-0.6,-9.84,401680.86,1834246.01,N   39 36   6.65,W   79 58 35.31
,5812,0.72,2.11,5810.59,4728.59,83.3,25.25,-99.14,0.45,0.2,38.89,401681.85,1834245.76,N   39 36   6.66,W   79 58 35.31
,5912,0.51,60.49,5910.58,4828.58,83.69,26.1,-98.73,0.63,-0.21,58.38,401682.69,1834246.17,N   39 36   6.67,W   79 58 35.31
,6012,0.32,13.28,6010.58,4928.58,83.77,26.59,-98.28,0.38,-0.19,-47.21,401683.19,1834246.63,N   39 36   6.68,W   79 58 35.30
,6112,0.27,14.02,6110.58,5028.58,84.07,27.09,-98.16,0.05,-0.05,0.74,401683.69,1834246.75,N   39 36   6.68,W   79 58 35.30
Tie in/Build & Turn @ 8°/100' DLS,6212,0.52,357.71,6210.58,5128.58,84.57,27.77,-98.12,0.27,0.25,-16.31,401684.37,1834246.79,N   39 36   6.69,W   79 58 35.30
,6259,1.32,179.82,6257.57,5175.57,84.32,27.44,-98.13,3.91,1.7,-378.49,401684.04,1834246.78,N   39 36   6.69,W   79 58 35.30
,6355,9.41,200.86,6353.08,5271.08,79.67,18.99,-100.92,8.53,8.43,21.92,401675.59,1834243.98,N   39 36   6.60,W   79 58 35.33
,6450,10.38,213.06,6446.67,5364.67,73.46,4.56,-108.36,2.43,1.02,12.84,401661.16,1834236.55,N   39 36   6.46,W   79 58 35.43
,6544,17.24,195.08,6537.94,5455.94,63.08,-16.02,-116.61,8.53,7.3,-19.13,401640.58,1834228.29,N   39 36   6.26,W   79 58 35.53
,6639,21.28,186.82,6627.62,5545.62,43.3,-46.75,-122.33,5.12,4.25,-8.69,401609.85,1834222.58,N   39 36   5.95,W   79 58 35.60
,6733,19.43,208.22,6715.87,5633.87,25.91,-77.51,-131.76,8.11,-1.97,22.77,401579.09,1834213.15,N   39 36   5.65,W   79 58 35.72
,6828,23.3,227.97,6804.44,5722.44,19.5,-104.06,-153.22,8.55,4.07,20.79,401552.55,1834191.69,N   39 36   5.38,W   79 58 35.99
,6922,27.44,243.12,6889.45,5807.45,23.92,-126.33,-186.4,8.16,4.4,16.12,401530.28,1834158.51,N   39 36   5.16,W   79 58 36.42
,7017,29.02,262.98,6973.33,5891.33,41.64,-139.07,-228.89,9.99,1.66,20.91,401517.54,1834116.02,N   39 36   5.03,W   79 58 36.96
,7111,31.22,272.68,7054.68,5972.68,70.73,-140.72,-275.89,5.68,2.34,10.32,401515.89,1834069.03,N   39 36   5.01,W   79 58 37.56
,7206,36.32,281.48,7133.68,6051.68,109.62,-133.96,-328.12,7.43,5.37,9.26,401522.65,1834016.8,N   39 36   5.08,W   79 58 38.23
,7302,40.89,291.21,7208.75,6126.75,159.6,-116.91,-385.36,7.9,4.76,10.14,401539.7,1833959.56,N   39 36   5.24,W   79 58 38.96
,7396,48.36,296.42,7275.62,6193.62,218.98,-90.1,-445.6,8.84,7.95,5.54,401566.5,1833899.32,N   39 36   5.51,W   79 58 39.73
,7491,54.69,305.18,7334.77,6252.77,289.23,-51.89,-509.22,9.81,6.66,9.22,401604.71,1833835.71,N   39 36   5.88,W   79 58 40.54
,7586,60.67,315.5,7385.64,6303.64,368.26,0.12,-570.1,11.12,6.29,10.86,401656.72,1833774.84,N   39 36   6.39,W   79 58 41.33
,7680,65.42,320.01,7428.25,6346.25,451.95,62.16,-626.34,6.62,5.05,4.8,401718.75,1833718.6,N   39 36   7.00,W   79 58 42.05
,7776,74.39,322.89,7461.21,6379.21,541.96,132.62,-682.41,9.76,9.34,3,401789.22,1833662.53,N   39 36   7.69,W   79 58 42.77
