,,Northeast Natural MIP 5H Survey 0ft to 14454ft MD,,,,,,,,,,,,,,
,,(Def Survey),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Report Date:,,"September 14, 2015 - 08:56 AM",,,,Survey / DLS Computation:,,Minimum Curvature / Lubinski,,,,,,,,
Client:,,Northeast Natural,,,,Vertical Section Azimuth:,,333.925 ° (Grid North),,,,,,,,
Field:,,WV Monongalia County (NAD 83),,,,Vertical Section Origin:,,"0.000 ft, 0.000 ft",,,,,,,,
Structure / Slot:,,Northeast Natural MIP Pad / MIP 5H,,,,TVD Reference Datum:,,KB,,,,,,,,
Well:,,MIP 5H,,,,TVD Reference Elevation:,,1082.000 ft above MSL,,,,,,,,
Borehole:,,Original Borehole,,,,Seabed / Ground Elevation:,,1058.000 ft above MSL,,,,,,,,
UWI / API#:,,Unknown / Unknown,,,,Magnetic Declination:,,-9.547 °,,,,,,,,
Survey Name:,,Northeast Natural MIP 5H Gyro+MWD 0ft to update,,,,Total Gravity Field Strength:,,999.3447mgn (9.80665 Based),,,,,,,,
Survey Date:,,1-Sep-15,,,,Gravity Model:,,GARM,,,,,,,,
Tort / AHD / DDI / ERD Ratio:,,234.035 ° / 7624.484 ft / 6.535 / 1.013,,,,Total Magnetic Field Strength:,,52526.702 nT,,,,,,,,
Coordinate Reference System:,,"NAD83 West Virginia State Plane, Northern Zone, US Feet",,,,Magnetic Dip Angle:,,66.855 °,,,,,,,,
Location Lat / Long:,,"N  39° 36'  6.60052"", W  79° 58' 34.14611""",,,,Declination Date:,,1-Sep-15,,,,,,,,
Location Grid N/E Y/X:,,"N 401674.900 ftUS, E 1834336.900 ftUS",,,,Magnetic Declination Model:,,HDGM 2015,,,,,,,,
CRS Grid Convergence Angle:,,-0.3037 °,,,,North Reference:,,Grid North,,,,,,,,
Grid Scale Factor:,,0.99994083,,,,Grid Convergence Used:,,-0.3037 °,,,,,,,,
Version / Patch:,,2.7.1043.0,,,,Total Corr Mag North->Grid North:,,-9.2432 °,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Local Coord Referenced To:,,Well Head,,,,,,,,
SHL,0,0,0,0,-1082,0,0,0,N/A,N/A,N/A,401674.9,1834336.9,N   39 36   6.60,W   79 58 34.15,0
,112,0.13,151.38,112,-970,-0.13,-0.11,0.06,0.12,0.12,0,401674.79,1834336.96,N   39 36   6.60,W   79 58 34.15,0
,212,0.63,245.88,212,-870,-0.22,-0.44,-0.39,0.65,0.5,94.5,401674.46,1834336.51,N   39 36   6.60,W   79 58 34.15,0
,312,0.78,245.3,311.99,-770.01,-0.19,-0.94,-1.51,0.15,0.15,-0.58,401673.96,1834335.39,N   39 36   6.59,W   79 58 34.17,0.26
,412,0.31,261.33,411.99,-670.01,-0.09,-1.27,-2.39,0.49,-0.47,16.03,401673.63,1834334.51,N   39 36   6.59,W   79 58 34.18,0.61
,512,0.57,228.56,511.98,-570.02,-0.14,-1.64,-3.03,0.35,0.26,-32.77,401673.26,1834333.87,N   39 36   6.58,W   79 58 34.18,0.81
,612,0.69,186.4,611.98,-470.02,-0.78,-2.57,-3.47,0.47,0.12,-42.16,401672.33,1834333.43,N   39 36   6.57,W   79 58 34.19,1.02
,712,0.67,173.43,711.97,-370.03,-1.84,-3.75,-3.47,0.15,-0.02,-12.97,401671.15,1834333.43,N   39 36   6.56,W   79 58 34.19,1.15
,812,0.5,186.46,811.96,-270.04,-2.76,-4.76,-3.46,0.21,-0.17,13.03,401670.14,1834333.44,N   39 36   6.55,W   79 58 34.19,1.25
,912,0.51,174.01,911.96,-170.04,-3.54,-5.64,-3.46,0.11,0.01,-12.45,401669.26,1834333.44,N   39 36   6.54,W   79 58 34.19,1.32
,1012,0.34,187.36,1011.96,-70.04,-4.21,-6.37,-3.45,0.2,-0.17,13.35,401668.53,1834333.45,N   39 36   6.54,W   79 58 34.19,1.39
,1112,0.16,134.34,1111.96,29.96,-4.59,-6.77,-3.39,0.28,-0.18,-53.02,401668.13,1834333.51,N   39 36   6.53,W   79 58 34.19,1.45
,1212,0.14,169.49,1211.96,129.96,-4.84,-6.98,-3.27,0.09,-0.02,35.15,401667.92,1834333.63,N   39 36   6.53,W   79 58 34.19,1.48
,1312,0.16,249.25,1311.96,229.96,-4.94,-7.15,-3.37,0.19,0.02,79.76,401667.75,1834333.53,N   39 36   6.53,W   79 58 34.19,1.51
,1412,0.47,251.24,1411.96,329.96,-4.88,-7.33,-3.89,0.31,0.31,1.99,401667.57,1834333.01,N   39 36   6.53,W   79 58 34.20,1.58
,1512,0.48,265.14,1511.95,429.95,-4.67,-7.5,-4.7,0.12,0.01,13.9,401667.4,1834332.2,N   39 36   6.53,W   79 58 34.21,1.62
,1612,0.57,234.31,1611.95,529.95,-4.6,-7.83,-5.52,0.29,0.09,-30.83,401667.07,1834331.38,N   39 36   6.52,W   79 58 34.22,1.69
,1712,0.34,194.27,1711.94,629.94,-4.91,-8.41,-6,0.38,-0.23,-40.04,401666.49,1834330.9,N   39 36   6.52,W   79 58 34.22,1.75
,1812,0.18,193.17,1811.94,729.94,-5.26,-8.85,-6.11,0.16,-0.16,-1.1,401666.05,1834330.79,N   39 36   6.51,W   79 58 34.22,1.78
,1912,0.35,100.89,1911.94,829.94,-5.57,-9.06,-5.84,0.4,0.17,-92.28,401665.84,1834331.06,N   39 36   6.51,W   79 58 34.22,1.83
,2012,0.23,83.42,2011.94,929.94,-5.82,-9.09,-5.34,0.15,-0.12,-17.47,401665.81,1834331.56,N   39 36   6.51,W   79 58 34.21,1.86
,2112,0.36,2.23,2111.94,1029.94,-5.61,-8.75,-5.13,0.4,0.13,-81.19,401666.15,1834331.77,N   39 36   6.51,W   79 58 34.21,1.91
,2212,0.5,314.64,2211.94,1129.94,-4.92,-8.13,-5.43,0.37,0.14,-47.59,401666.77,1834331.47,N   39 36   6.52,W   79 58 34.21,1.95
,2312,0.79,259.17,2311.93,1229.93,-4.33,-7.96,-6.42,0.65,0.29,-55.47,401666.94,1834330.48,N   39 36   6.52,W   79 58 34.23,2.03
,2412,0.76,265.01,2411.92,1329.92,-3.91,-8.14,-7.75,0.08,-0.03,5.84,401666.76,1834329.15,N   39 36   6.52,W   79 58 34.24,2.07
,2512,0.84,271.49,2511.91,1429.91,-3.33,-8.18,-9.15,0.12,0.08,6.48,401666.72,1834327.75,N   39 36   6.52,W   79 58 34.26,2.11
,2612,0.76,270.24,2611.9,1529.9,-2.7,-8.16,-10.54,0.08,-0.08,-1.25,401666.74,1834326.36,N   39 36   6.52,W   79 58 34.28,2.15
,2712,0.81,273.1,2711.89,1629.89,-2.06,-8.12,-11.91,0.06,0.05,2.86,401666.78,1834324.99,N   39 36   6.52,W   79 58 34.30,2.18
,2812,1.03,273.06,2811.88,1729.88,-1.28,-8.03,-13.52,0.22,0.22,-0.04,401666.87,1834323.38,N   39 36   6.52,W   79 58 34.32,2.22
,2912,1.19,265.99,2911.86,1829.86,-0.45,-8.06,-15.45,0.21,0.16,-7.07,401666.84,1834321.45,N   39 36   6.52,W   79 58 34.34,2.27
,3012,1.43,275.17,3011.84,1929.84,0.59,-8.02,-17.73,0.32,0.24,9.18,401666.88,1834319.17,N   39 36   6.52,W   79 58 34.37,2.33
,3112,1.11,286.79,3111.81,2029.81,1.9,-7.63,-19.9,0.41,-0.32,11.62,401667.27,1834317,N   39 36   6.52,W   79 58 34.40,2.38
,3212,1.05,283.78,3211.79,2129.79,3.14,-7.13,-21.72,0.08,-0.06,-3.01,401667.77,1834315.19,N   39 36   6.53,W   79 58 34.42,2.42
,3312,1.34,289.97,3311.77,2229.77,4.57,-6.51,-23.7,0.32,0.29,6.19,401668.39,1834313.2,N   39 36   6.53,W   79 58 34.45,2.46
,3412,1.48,284.98,3411.74,2329.74,6.26,-5.78,-26.05,0.19,0.14,-4.99,401669.12,1834310.85,N   39 36   6.54,W   79 58 34.48,2.5
,3512,1.68,289.55,3511.7,2429.7,8.16,-4.95,-28.68,0.24,0.2,4.57,401669.95,1834308.22,N   39 36   6.55,W   79 58 34.51,2.54
,3612,1.22,287.8,3611.67,2529.67,9.94,-4.14,-31.07,0.46,-0.46,-1.75,401670.76,1834305.83,N   39 36   6.56,W   79 58 34.54,2.59
,3712,1.66,278.88,3711.64,2629.64,11.51,-3.59,-33.52,0.49,0.44,-8.92,401671.31,1834303.38,N   39 36   6.56,W   79 58 34.57,2.64
,3812,1.61,279.08,3811.6,2729.6,13.15,-3.14,-36.34,0.05,-0.05,0.2,401671.76,1834300.56,N   39 36   6.57,W   79 58 34.61,2.67
,3912,1.7,282.12,3911.56,2829.56,14.87,-2.61,-39.17,0.13,0.09,3.04,401672.29,1834297.73,N   39 36   6.57,W   79 58 34.65,2.7
,4012,1.39,290.99,4011.52,2929.52,16.68,-1.86,-41.76,0.39,-0.31,8.87,401673.04,1834295.15,N   39 36   6.58,W   79 58 34.68,2.74
,4112,1.42,294.63,4111.49,3029.49,18.53,-0.91,-44.02,0.09,0.03,3.64,401673.99,1834292.89,N   39 36   6.59,W   79 58 34.71,2.76
,4212,1.62,289.84,4211.46,3129.46,20.5,0.08,-46.47,0.24,0.2,-4.79,401674.98,1834290.43,N   39 36   6.60,W   79 58 34.74,2.79
,4312,1.53,286.12,4311.42,3229.42,22.41,0.93,-49.08,0.14,-0.09,-3.72,401675.83,1834287.82,N   39 36   6.61,W   79 58 34.77,2.82
,4412,1.93,301.26,4411.37,3329.37,24.73,2.18,-51.81,0.6,0.4,15.14,401677.08,1834285.1,N   39 36   6.62,W   79 58 34.81,2.86
,4512,1.96,302.54,4511.32,3429.32,27.61,3.97,-54.69,0.05,0.03,1.28,401678.87,1834282.22,N   39 36   6.64,W   79 58 34.85,2.89
,4612,1.93,302.15,4611.26,3529.26,30.5,5.79,-57.55,0.03,-0.03,-0.39,401680.69,1834279.35,N   39 36   6.65,W   79 58 34.88,2.91
,4712,2.1,298.56,4711.2,3629.2,33.42,7.56,-60.59,0.21,0.17,-3.59,401682.46,1834276.31,N   39 36   6.67,W   79 58 34.92,2.94
,4812,2.01,297.91,4811.13,3729.13,36.33,9.26,-63.75,0.09,-0.09,-0.65,401684.16,1834273.16,N   39 36   6.69,W   79 58 34.96,2.97
,4912,2.05,298.35,4911.07,3829.07,39.21,10.93,-66.87,0.04,0.04,0.44,401685.83,1834270.03,N   39 36   6.71,W   79 58 35.00,2.99
,5012,2.84,298.95,5010.98,3928.98,42.69,12.97,-70.61,0.79,0.79,0.6,401687.87,1834266.29,N   39 36   6.73,W   79 58 35.05,3.04
,5112,2.59,305.48,5110.87,4028.87,46.71,15.49,-74.62,0.4,-0.25,6.53,401690.38,1834262.28,N   39 36   6.75,W   79 58 35.10,3.07
,5212,2.18,304.14,5210.78,4128.78,50.35,17.86,-78.04,0.41,-0.41,-1.34,401692.76,1834258.87,N   39 36   6.77,W   79 58 35.14,3.11
,5312,1.69,303.1,5310.72,4228.72,53.26,19.74,-80.85,0.49,-0.49,-1.04,401694.64,1834256.06,N   39 36   6.79,W   79 58 35.18,3.14
,5412,1.14,312.23,5410.69,4328.69,55.45,21.21,-82.82,0.59,-0.55,9.13,401696.11,1834254.09,N   39 36   6.81,W   79 58 35.21,3.17
,5512,1.04,327.61,5510.67,4428.67,57.28,22.65,-84.04,0.31,-0.1,15.38,401697.54,1834252.86,N   39 36   6.82,W   79 58 35.22,3.18
,5612,0.69,356.4,5610.66,4528.66,58.74,24.01,-84.56,0.55,-0.35,28.79,401698.91,1834252.34,N   39 36   6.83,W   79 58 35.23,3.21
,5712,0.47,42.87,5710.66,4628.66,59.44,24.91,-84.32,0.5,-0.22,46.47,401699.81,1834252.58,N   39 36   6.84,W   79 58 35.23,3.22
,5812,0.47,53.15,5810.65,4728.65,59.67,25.46,-83.72,0.08,0,10.28,401700.36,1834253.19,N   39 36   6.85,W   79 58 35.22,3.23
,5912,0.49,68.14,5910.65,4828.65,59.71,25.87,-82.99,0.13,0.02,14.99,401700.76,1834253.91,N   39 36   6.85,W   79 58 35.21,3.24
,6012,0.43,67.58,6010.65,4928.65,59.66,26.17,-82.25,0.06,-0.06,-0.56,401701.07,1834254.66,N   39 36   6.85,W   79 58 35.20,3.24
,6112,0.22,10.79,6110.65,5028.65,59.79,26.5,-81.86,0.36,-0.21,-56.79,401701.4,1834255.04,N   39 36   6.86,W   79 58 35.19,3.25
,6212,0.31,5.98,6210.64,5128.64,60.17,26.96,-81.8,0.09,0.09,-4.81,401701.86,1834255.11,N   39 36   6.86,W   79 58 35.19,3.26
,6312,0.33,334.78,6310.64,5228.64,60.69,27.49,-81.89,0.17,0.02,-31.2,401702.39,1834255.01,N   39 36   6.87,W   79 58 35.19,3.26
,6412,0.25,318.77,6410.64,5328.64,61.19,27.91,-82.16,0.11,-0.08,-16.01,401702.81,1834254.74,N   39 36   6.87,W   79 58 35.20,3.27
Final Gyro,6472,0.62,270.77,6470.64,5388.64,61.46,28.02,-82.57,0.82,0.62,-80,401702.91,1834254.33,N   39 36   6.87,W   79 58 35.20,3.28
,6513,0.7,324.08,6511.64,5429.64,61.8,28.22,-82.94,1.45,0.2,130.02,401703.12,1834253.96,N   39 36   6.88,W   79 58 35.21,3.3
,6558,4.31,14.24,6556.59,5474.59,63.37,30.08,-82.69,8.66,8.02,111.47,401704.98,1834254.22,N   39 36   6.89,W   79 58 35.20,3.39
,6607,9.23,17.31,6605.23,5523.23,67.63,35.62,-81.06,10.06,10.04,6.27,401710.52,1834255.84,N   39 36   6.95,W   79 58 35.18,3.5
,6702,16.71,22.13,6697.75,5615.75,82.29,55.58,-73.64,7.95,7.87,5.07,401730.47,1834263.26,N   39 36   7.15,W   79 58 35.09,3.68
,6797,23.74,15.08,6786.85,5704.85,105.82,86.74,-63.51,7.82,7.4,-7.42,401761.63,1834273.4,N   39 36   7.45,W   79 58 34.96,3.86
,6890,32.18,14.26,6868.92,5786.92,138.86,128.89,-52.52,9.08,9.08,-0.88,401803.78,1834284.39,N   39 36   7.87,W   79 58 34.83,4.04
,6984,41.94,18.51,6943.85,5861.85,180.42,183.08,-36.34,10.73,10.38,4.52,401857.97,1834300.57,N   39 36   8.41,W   79 58 34.62,4.22
,7078,50.3,15.76,7008.96,5926.96,229.82,247.79,-16.5,9.14,8.89,-2.93,401922.67,1834320.4,N   39 36   9.05,W   79 58 34.37,4.37
,7173,59.97,12.1,7063.21,5981.21,289.54,323.37,2.09,10.66,10.18,-3.85,401998.25,1834338.99,N   39 36   9.80,W   79 58 34.14,4.53
,7268,66.92,14.11,7105.66,6023.66,355.34,406.07,21.39,7.56,7.32,2.12,402080.94,1834358.29,N   39 36 10.61,W   79 58 33.90,4.65
